time,hour,Wind Day Ahead Forecast [in MW],Wind Intraday Forecast [in MW],PV Day Ahead Forecast [in MW],PV Intraday Forecast [in MW],Day Ahead Price hourly [in EUR/MWh],Intraday Price Price Quarter Hourly  [in EUR/MWh],Intraday Price Hourly  [in EUR/MWh],Imbalance Price Quarter Hourly  [in EUR/MWh],Wind_DA_MWh,PV_DA_MWh
2021-01-01 00:00:00,0,16852,17704,0,0,203.48,188.0513731701481,194.729174331608,60.61999999999999,4213.0,0.0
2021-01-01 01:00:00,4,14695,15364,0,0,192.76,208.1596343157063,184.6632772978616,310.56,3673.75,0.0
2021-01-01 02:00:00,8,13067,13684,0,0,178.72,235.2786229008342,214.9210529223056,27.0,3266.75,0.0
2021-01-01 03:00:00,12,11921,12538,0,0,171.68,171.2448832208519,180.6852322222732,10.97,2980.25,0.0
2021-01-01 04:00:00,16,11080,11186,0,0,161.56,160.3526319486979,164.8562904391104,49.14,2770.0,0.0
2021-01-01 05:00:00,20,10215,10492,0,0,160.8,166.6836399264025,168.8930251714416,221.82999999999998,2553.75,0.0
2021-01-01 06:00:00,24,9651,9983,0,0,158.52,164.958499380753,169.2337793229924,291.13,2412.75,0.0
2021-01-01 07:00:00,28,9516,9373,0,0,160.36,175.2418213701747,172.6039500922208,138.16,2379.0,0.0
2021-01-01 08:00:00,32,9717,9016,664,653,165.08,191.65785627887192,187.3749974468084,4.48,2429.25,166.0
2021-01-01 09:00:00,36,10094,9501,5122,5179,179.52,195.9553653195891,198.267938519196,-7.450000000000003,2523.5,1280.5
2021-01-01 10:00:00,40,10254,9533,10801,11526,180.0,183.96635577377788,193.7829747241012,44.620000000000005,2563.5,2700.25
2021-01-01 11:00:00,44,10105,9314,14960,16871,188.8,187.98730084716152,192.5057760204348,129.87,2526.25,3740.0
2021-01-01 12:00:00,48,10822,9393,16310,19224,203.12,229.34612413094322,208.0944919657848,294.28,2705.5,4077.5
2021-01-01 13:00:00,52,12405,9151,14503,17806,181.96,199.70440855501948,195.768339027854,184.70999999999998,3101.25,3625.75
2021-01-01 14:00:00,56,13519,9141,9973,11509,178.92,206.2533765875809,196.3350477568312,265.9,3379.75,2493.25
2021-01-01 15:00:00,60,14705,9816,3782,3948,186.36,211.7702176914628,203.1568523344192,272.37,3676.25,945.5
2021-01-01 16:00:00,64,16646,11705,203,192,211.96,246.22849843555582,223.4128498592812,334.21000000000004,4161.5,50.75
2021-01-01 17:00:00,68,18582,14654,0,0,241.04,244.6694285243945,251.9849666560812,107.78,4645.5,0.0
2021-01-01 18:00:00,72,19746,16554,0,0,242.44,247.80106346781452,248.580374367206,160.52999999999997,4936.5,0.0
2021-01-01 19:00:00,76,19944,18427,0,0,241.44,251.2789923587735,251.8776885772416,55.72,4986.0,0.0
2021-01-01 20:00:00,80,20196,19702,0,0,229.6,228.7690898974561,239.1255209828424,130.39,5049.0,0.0
2021-01-01 21:00:00,84,20740,19843,0,0,215.44,215.2019435057029,216.4026237968828,229.91,5185.0,0.0
2021-01-01 22:00:00,88,20624,21395,0,0,213.8,243.32871396035551,233.8593900873924,17.88,5156.0,0.0
2021-01-01 23:00:00,92,19960,22482,0,0,198.88,176.57560010379441,197.5276387111452,63.24,4990.0,0.0
2021-01-02 00:00:00,0,18308,20604,0,0,186.76,177.7388575254981,172.3774270301168,-37.459999999999994,4577.0,0.0
2021-01-02 01:00:00,4,17505,19287,0,0,169.72,168.6246936422815,170.251123089342,-59.66,4376.25,0.0
2021-01-02 02:00:00,8,16321,18688,0,0,164.36,105.9296749587825,149.9731304572668,4.0,4080.25,0.0
2021-01-02 03:00:00,12,15146,17919,0,0,160.0,131.9054153350155,146.2288659099048,41.0,3786.5,0.0
2021-01-02 04:00:00,16,14258,16948,0,0,150.2,126.902045618109,141.0898055494864,-52.79,3564.5,0.0
2021-01-02 05:00:00,20,13271,16319,0,0,156.0,167.1729240227379,159.9375271566892,126.38,3317.75,0.0
2021-01-02 06:00:00,24,12604,15007,0,0,168.36,170.1192328427467,169.067343570352,-53.21,3151.0,0.0
2021-01-02 07:00:00,28,11830,14560,0,0,179.84,175.7105763794632,184.5715694376356,-146.06,2957.5,0.0
